molecule_chembl_id,canonical_smiles,pchembl_value,bioactivity_class,smiles_clean,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL112564,CN(C)Cc1c(-c2n[nH]c(-c3ccncc3)n2)nnn1-c1nonc1N,5.16,0,CN(C)Cc1c(-c2n[nH]c(-c3ccncc3)n2)nnn1-c1nonc1N,353.35000000000014,0.14119999999999966,2,11
CHEMBL321421,CCN(CC)Cc1c(C(=O)N/N=C/c2ccncc2)nnn1-c1nonc1N,6.39,1,CCN(CC)Cc1c(C(=O)N/N=C/c2ccncc2)nnn1-c1nonc1N,384.40400000000017,0.23320000000000085,2,11
CHEMBL325353,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccncc2)c1CN1CCCCC1,7.0,1,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccncc2)c1CN1CCCCC1,396.4150000000003,0.37729999999999975,2,11
CHEMBL113168,Nc1nonc1-n1nnc(C(=O)NCCc2ccncc2)c1CN1CCCCC1,5.94,0,Nc1nonc1-n1nnc(C(=O)NCCc2ccncc2)c1CN1CCCCC1,397.44300000000027,0.5858999999999996,2,10
CHEMBL112483,Nc1nonc1-n1nnc(C(=O)NCc2ccncc2)c1CN1CCCCC1,5.03,0,Nc1nonc1-n1nnc(C(=O)NCc2ccncc2)c1CN1CCCCC1,383.4160000000003,0.5433999999999997,2,10
CHEMBL323944,Nc1nonc1-n1nnc(-c2n[nH]c(-c3ccncc3)n2)c1CN1CCCC1,6.62,1,Nc1nonc1-n1nnc(-c2n[nH]c(-c3ccncc3)n2)c1CN1CCCC1,379.38800000000026,0.6753999999999993,2,11
CHEMBL113272,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccncc2)c1CN1CCCC1,7.0,1,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccncc2)c1CN1CCCC1,382.38800000000026,-0.012800000000000145,2,11
CHEMBL112819,Nc1nonc1-n1nnc(C(=O)NCCc2ccncc2)c1CN1CCCC1,5.68,0,Nc1nonc1-n1nnc(C(=O)NCCc2ccncc2)c1CN1CCCC1,383.4160000000002,0.19579999999999975,2,10
CHEMBL323012,CCN(CC)Cc1c(C(=O)NCCc2ccncc2)nnn1-c1nonc1N,4.93,0,CCN(CC)Cc1c(C(=O)NCCc2ccncc2)nnn1-c1nonc1N,385.43200000000013,0.44180000000000097,2,10
CHEMBL326705,Nc1nonc1-n1nnc(-c2n[nH]c(-c3ccncc3)n2)c1CN1CCCCC1,6.55,1,Nc1nonc1-n1nnc(-c2n[nH]c(-c3ccncc3)n2)c1CN1CCCCC1,393.4150000000003,1.0654999999999992,2,11
CHEMBL111298,COc1ccccc1C1=C(c2cn(CCCO)c3ncccc23)C(=O)NC1=O,8.4,1,COc1ccccc1C1=C(c2cn(CCCO)c3ncccc23)C(=O)NC1=O,377.40000000000003,1.9944999999999993,2,6
CHEMBL326688,CN(C)CCCn1cc(C2=C(c3cccc4ccccc34)C(=O)NC2=O)c2cccnc21,6.85,1,CN(C)CCCn1cc(C2=C(c3cccc4ccccc34)C(=O)NC2=O)c2cccnc21,424.5040000000002,3.708400000000002,1,5
CHEMBL325817,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ccccc1C(F)(F)F,7.85,1,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ccccc1C(F)(F)F,415.3710000000001,3.0047000000000006,2,5
CHEMBL326208,COc1ccccc1C1=C(c2cn(CCCNS(C)(=O)=O)c3ncccc23)C(=O)NC1=O,7.85,1,COc1ccccc1C1=C(c2cn(CCCNS(C)(=O)=O)c3ncccc23)C(=O)NC1=O,454.50800000000015,1.5513999999999997,2,7
CHEMBL333829,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1cccs1,7.51,1,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1cccs1,353.4030000000001,2.0473999999999997,2,6
