molecule_chembl_id,canonical_smiles,pchembl_value,bioactivity_class,smiles_clean,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL1771409,Cc1cc(N/N=C/c2ccc(O)c(O)c2)nc2ccccc12,4.88,0,Cc1cc(N/N=C/c2ccc(O)c(O)c2)nc2ccccc12,293.326,3.4004200000000013,3,5
CHEMBL1771411,Cc1cc(N/N=C/c2ccncc2)nc2ccccc12,5.39,0,Cc1cc(N/N=C/c2ccncc2)nc2ccccc12,262.31600000000003,3.384220000000002,1,4
CHEMBL2204495,O=C(Nc1cccnc1)c1cc(-c2ccnc(F)c2)ccc1OCc1ccccc1,7.58875,1,O=C(Nc1cccnc1)c1cc(-c2ccnc(F)c2)ccc1OCc1ccccc1,399.4250000000001,5.114000000000003,1,4
CHEMBL2333124,Cc1c(-c2ccncc2)ccc2c(NC(C)C)c(C(N)=O)nnc12,5.6,0,Cc1c(-c2ccncc2)ccc2c(NC(C)C)c(C(N)=O)nnc12,321.38400000000007,2.9194199999999997,2,5
CHEMBL2333123,CNC(=O)c1nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2c1N[C@H](C)C1CC1,6.69,1,CNC(=O)c1nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2c1N[C@H](C)C1CC1,424.5260000000002,3.2703000000000015,2,6
CHEMBL2333122,CNC(=O)c1nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2c1NC(C)C,6.385,1,CNC(=O)c1nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2c1NC(C)C,398.4880000000001,2.880200000000001,2,6
CHEMBL2333121,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cnsc3)ccc12,7.7,1,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cnsc3)ccc12,313.386,2.6725000000000003,2,6
CHEMBL2333120,CC(C)Nc1c(C(N)=O)nnc2cc(N3CCOCC3)ccc12,7.92,1,CC(C)Nc1c(C(N)=O)nnc2cc(N3CCOCC3)ccc12,315.37700000000007,1.3855999999999995,2,6
CHEMBL2333119,CC(C)Nc1c(C(N)=O)nnc2cc(N3CCN(C)CC3)ccc12,7.255000000000001,1,CC(C)Nc1c(C(N)=O)nnc2cc(N3CCN(C)CC3)ccc12,328.42000000000013,1.3008,2,6
CHEMBL2333118,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cnn(C)c3)ccc12,7.985,1,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cnn(C)c3)ccc12,310.36100000000005,1.9494999999999993,2,6
CHEMBL2333117,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3cnn(C)c3)cc12,6.395,1,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3cnn(C)c3)cc12,310.36100000000005,1.9494999999999993,2,6
CHEMBL2333116,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cn[nH]c3)ccc12,7.9,1,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cn[nH]c3)ccc12,296.33400000000006,1.9390999999999994,3,5
CHEMBL2333115,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3cn[nH]c3)cc12,8.3,1,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3cn[nH]c3)cc12,296.334,1.9390999999999994,3,5
CHEMBL2333114,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3ccncc3)cc12,7.35,1,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3ccncc3)cc12,307.357,2.6109999999999998,2,5
CHEMBL2333113,C[C@@H](Nc1c(C(N)=O)nnc2cc(-c3ccncc3)ccc12)C1CC1,8.22,1,C[C@@H](Nc1c(C(N)=O)nnc2cc(-c3ccncc3)ccc12)C1CC1,333.39500000000015,3.001100000000001,2,5
CHEMBL2333112,CC(C)Nc1c(C(N)=O)nnc2cc(-c3ccncc3)ccc12,7.824999999999999,1,CC(C)Nc1c(C(N)=O)nnc2cc(-c3ccncc3)ccc12,307.357,2.6109999999999998,2,5
CHEMBL2333139,NC(=O)c1nnc2cc(-c3ccncc3)ccc2c1NCCO,6.7,1,NC(=O)c1nnc2cc(-c3ccncc3)ccc2c1NCCO,309.32900000000006,1.1948999999999996,3,6
CHEMBL2333138,NC(=O)c1nnc2cc(-c3ccncc3)ccc2c1NCCCO,6.855,1,NC(=O)c1nnc2cc(-c3ccncc3)ccc2c1NCCCO,323.3560000000001,1.5849999999999995,3,6
CHEMBL2333137,C[C@@H](Nc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12)c1ccccc1,5.915,0,C[C@@H](Nc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12)c1ccccc1,446.53200000000015,3.9723000000000033,2,6
