molecule_chembl_id,canonical_smiles,pchembl_value,standard_value,standard_units
CHEMBL112564,CN(C)Cc1c(-c2n[nH]c(-c3ccncc3)n2)nnn1-c1nonc1N,5.16,6920.0,nM
CHEMBL321421,CCN(CC)Cc1c(C(=O)N/N=C/c2ccncc2)nnn1-c1nonc1N,6.39,410.0,nM
CHEMBL115875,NNC(=O)c1nnn(-c2nonc2N)c1CN1CCCCC1,5.02,9600.0,nM
CHEMBL325353,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccncc2)c1CN1CCCCC1,7.0,100.0,nM
CHEMBL113168,Nc1nonc1-n1nnc(C(=O)NCCc2ccncc2)c1CN1CCCCC1,5.94,1160.0,nM
CHEMBL112483,Nc1nonc1-n1nnc(C(=O)NCc2ccncc2)c1CN1CCCCC1,5.03,9300.0,nM
CHEMBL323944,Nc1nonc1-n1nnc(-c2n[nH]c(-c3ccncc3)n2)c1CN1CCCC1,6.62,240.0,nM
CHEMBL113272,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccncc2)c1CN1CCCC1,7.0,100.0,nM
CHEMBL112819,Nc1nonc1-n1nnc(C(=O)NCCc2ccncc2)c1CN1CCCC1,5.68,2100.0,nM
CHEMBL111895,CCN(CC)Cc1c(C(=O)NN)nnn1-c1nonc1N,4.77,17000.0,nM
CHEMBL323012,CCN(CC)Cc1c(C(=O)NCCc2ccncc2)nnn1-c1nonc1N,4.93,11700.0,nM
CHEMBL326705,Nc1nonc1-n1nnc(-c2n[nH]c(-c3ccncc3)n2)c1CN1CCCCC1,6.55,280.0,nM
CHEMBL111298,COc1ccccc1C1=C(c2cn(CCCO)c3ncccc23)C(=O)NC1=O,8.4,4.0,nM
CHEMBL326688,CN(C)CCCn1cc(C2=C(c3cccc4ccccc34)C(=O)NC2=O)c2cccnc21,6.85,140.0,nM
CHEMBL325817,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ccccc1C(F)(F)F,7.85,14.0,nM
CHEMBL326208,COc1ccccc1C1=C(c2cn(CCCNS(C)(=O)=O)c3ncccc23)C(=O)NC1=O,7.85,14.0,nM
CHEMBL333829,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1cccs1,7.51,31.0,nM
CHEMBL111005,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ccc(F)cc1Cl,8.22,6.0,nM
CHEMBL324268,COc1ccccc1C1=C(c2cn(CCCN)c3ncccc23)C(=O)NC1=O,7.43,37.0,nM
CHEMBL110000,CCn1cc(C2=C(c3cn(CCCO)c4ncccc34)C(=O)NC2=O)c2cccnc21,7.19,65.0,nM
CHEMBL109977,COc1ccccc1C1=C(c2cn(CCCNC=O)c3ncccc23)C(=O)NC1=O,8.1,8.0,nM
CHEMBL109834,CN(C)CCCn1cc(C2=C(c3ccccc3Cl)C(=O)NC2=O)c2cccnc21,7.82,15.0,nM
CHEMBL423323,COc1ccccc1C1=C(c2cn(CCCNS(N)(=O)=O)c3ncccc23)C(=O)NC1=O,7.7,20.0,nM
