molecule_chembl_id,canonical_smiles,pchembl_value,standard_value,standard_units
CHEMBL1771409,Cc1cc(N/N=C/c2ccc(O)c(O)c2)nc2ccccc12,4.88,13200.0,nM
CHEMBL1771411,Cc1cc(N/N=C/c2ccncc2)nc2ccccc12,5.39,4100.0,nM
CHEMBL1933288,C[C@@H]1CCNC(=O)c2cc3ccc(C(=O)Nc4nc5ccccc5n4CCCN(C)C)cc3n21,7.8,16.0,nM
CHEMBL2178141,CCNc1nc(Nc2cc3c(cc2OC)C(=O)N(CC(C)(C)O)C3)ncc1C(F)(F)F,7.66,22.0,nM
CHEMBL2178140,CCNc1nc(Nc2cc(F)c(C(=O)NCC(C)(C)O)cc2OC)ncc1C(F)(F)F,8.0,10.0,nM
CHEMBL2178139,CNc1nc(Nc2cnc(C3CCOCC3)cc2OC)ncc1C(F)(F)F,7.29,51.0,nM
CHEMBL2178138,CCNc1nc(Nc2cnc(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,7.77,17.0,nM
CHEMBL2178137,CNc1nc(Nc2cc(F)c(S(C)(=O)=O)cc2OC)ncc1C(F)(F)F,7.57,27.0,nM
CHEMBL2178136,CNc1nc(Nc2ccc(-c3nnnn3C)cc2Cl)ncc1C(F)(F)F,7.0,100.0,nM
CHEMBL2178135,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1ncc(C(F)(F)F)c(NC2CC2)n1,8.4,4.0,nM
CHEMBL2178133,CNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,7.8,16.0,nM
CHEMBL2178132,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)c(F)c2OC)ncc1C(F)(F)F,7.46,35.0,nM
CHEMBL2178131,CNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2F)ncc1C(F)(F)F,7.2,63.0,nM
CHEMBL2178130,CNc1nc(Nc2cc(C)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,7.96,11.0,nM
CHEMBL2178129,CNc1nc(Nc2cc(C)c(C(=O)N3CCOCC3)cc2Cl)ncc1C(F)(F)F,7.37,43.0,nM
CHEMBL2178127,CCNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2Cl)ncc1C(F)(F)F,7.57,27.0,nM
CHEMBL2178126,CNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2Cl)ncc1C(F)(F)F,7.62,24.0,nM
CHEMBL2178125,CNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,7.68,21.0,nM
CHEMBL2178124,CNc1nc(Nc2cc(Cl)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,8.15,7.0,nM
CHEMBL2171745,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,8.05,9.0,nM
CHEMBL2171746,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1C#N,6.98,105.0,nM
CHEMBL2171744,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1F,6.38,418.0,nM
CHEMBL2178123,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Br)c(OC)n1,7.28,53.0,nM
CHEMBL2171743,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1Br,7.89,13.0,nM
CHEMBL2178142,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(OC)n1,7.16,69.0,nM
CHEMBL2204495,O=C(Nc1cccnc1)c1cc(-c2ccnc(F)c2)ccc1OCc1ccccc1,7.693636363636364,61.3,nM
CHEMBL2326726,CNc1nc(Nc2cnn(CC(C)(C)O)c2Cl)ncc1C(F)(F)F,7.55,28.0,nM
CHEMBL2326715,CNc1nc(Nc2cnn(C)c2Cl)ncc1C(F)(F)F,7.41,39.0,nM
CHEMBL2326714,CNc1nc(Nc2cnn(C)c2C)ncc1C(F)(F)F,7.39,41.0,nM
CHEMBL2326713,CNc1nc(Nc2cn(C)nc2C)ncc1C(F)(F)F,7.28,52.0,nM
CHEMBL2326712,CNc1nc(Nc2cnn(C)c2)ncc1C(F)(F)F,7.0,99.0,nM
CHEMBL2326711,CNc1nc(Nc2ccnn2C)ncc1C(F)(F)F,6.89,130.0,nM
CHEMBL2326710,CNc1nc(Nc2ccn(C)n2)ncc1C(F)(F)F,6.77,170.0,nM
CHEMBL2333124,Cc1c(-c2ccncc2)ccc2c(NC(C)C)c(C(N)=O)nnc12,5.55,2512.0,nM
CHEMBL2333123,CNC(=O)c1nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2c1N[C@H](C)C1CC1,6.72,247.0,nM
CHEMBL2333122,CNC(=O)c1nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2c1NC(C)C,6.383333333333333,418.0,nM
CHEMBL2333121,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cnsc3)ccc12,7.775,20.0,nM
CHEMBL2333120,CC(C)Nc1c(C(N)=O)nnc2cc(N3CCOCC3)ccc12,7.985,12.0,nM
CHEMBL2333119,CC(C)Nc1c(C(N)=O)nnc2cc(N3CCN(C)CC3)ccc12,7.263333333333333,59.0,nM
CHEMBL2333118,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cnn(C)c3)ccc12,8.006666666666668,12.0,nM
CHEMBL2333117,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3cnn(C)c3)cc12,6.403333333333333,425.0,nM
CHEMBL2333116,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cn[nH]c3)ccc12,7.906666666666666,18.0,nM
CHEMBL2333115,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3cn[nH]c3)cc12,8.65,5.0,nM
CHEMBL2333114,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3ccncc3)cc12,7.406666666666666,66.0,nM
CHEMBL2333113,C[C@@H](Nc1c(C(N)=O)nnc2cc(-c3ccncc3)ccc12)C1CC1,8.46,6.0,nM
CHEMBL2333112,CC(C)Nc1c(C(N)=O)nnc2cc(-c3ccncc3)ccc12,7.823333333333333,16.0,nM
CHEMBL2333139,NC(=O)c1nnc2cc(-c3ccncc3)ccc2c1NCCO,6.746666666666667,264.0,nM
CHEMBL2333138,NC(=O)c1nnc2cc(-c3ccncc3)ccc2c1NCCCO,6.876666666666666,162.0,nM
