molecule_chembl_id,canonical_smiles,pchembl_value,standard_value,standard_units
CHEMBL350093,N#CCCN1CC(=O)OC(c2ccc(OCc3ccccc3)cc2)=N1,7.75,18.0,nM
CHEMBL161907,O=c1c(=O)c2ccc(OCCCC(F)(F)F)cc2c1=O,8.05,9.0,nM
CHEMBL17079,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=S,8.36,4.4,nM
CHEMBL157182,C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,3.4034029043735394,395000.0,nM
CHEMBL160347,COc1cc(Br)c2oc(C3CCNCC3)cc2c1,4.63,23400.0,nM
CHEMBL347197,CC/N=C1/CCc2c1n(C)c1ccccc21,4.11,77600.0,nM
CHEMBL348607,CCCCNC(=O)Oc1ccc2c(c1Br)c1c(n2C)/C(=N\C)CC1,3.7569619513137056,175000.0,nM
CHEMBL17092,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=O,8.66,2.2,nM
CHEMBL16530,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=O,8.1,8.0,nM
CHEMBL348961,Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O,10.85,0.014,nM
CHEMBL346766,C/N=C1/CCc2c1n(C)c1ccccc21,3.498940737782249,317000.0,nM
CHEMBL16623,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=S,7.8,16.0,nM
CHEMBL414637,O=C1CCc2cc(OCCCC(F)(F)F)ccc21,9.5,0.318,nM
CHEMBL158946,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,4.29,51000.0,nM
CHEMBL161896,COCC(COc1ccc(OCc2cccc(C(F)(F)F)c2)cc1C(C)=O)C(=O)OC,7.7,20.0,nM
CHEMBL304241,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(C)c1,4.72,19000.0,nM
CHEMBL62743,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(C)cc1,4.38,42000.0,nM
CHEMBL65252,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)c(OC)c1,4.7,20000.0,nM
CHEMBL293004,COc1ccccc1C1CC(c2ccc(O)cc2)=NN1C(C)=O,4.0,100000.0,nM
CHEMBL63223,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccccc1Cl,4.05,89000.0,nM
CHEMBL66639,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(Cl)cc1,4.4,40000.0,nM
CHEMBL418480,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(Cl)cc1,3.920818753952375,120000.0,nM
CHEMBL291647,COc1ccc(C2CC(c3ccc(O)cc3O)=NN2C(C)=O)cc1,4.08,83000.0,nM
