Model,matthews_corrcoef,ROC AUC,Accuracy,F1 Score,Time Taken
XGBClassifier,0.6470562989788124,0.9007343231666076,0.8248436103663985,0.8248982959989124,1.1303091049194336
RandomForestClassifier,0.6336652574193622,0.8922445167316178,0.8185880250223414,0.8184077277586119,1.1094622611999512
BaggingClassifier,0.6316488993566052,0.8800154594350864,0.8176943699731903,0.8173789429461166,0.5674042701721191
ExtraTreesClassifier,0.6245996390580758,0.8698444394344423,0.8141197497765862,0.813916381012464,1.3152186870574951
NuSVC,0.6153043174872181,0.8814905471995879,0.8096514745308311,0.8092573243750842,3.28543758392334
KNeighborsClassifier,0.6141234708229105,0.8723662597829238,0.8078641644325291,0.8081045199316944,0.20847249031066895
SVC,0.5988977857048494,0.8702083803021031,0.8016085790884718,0.8010285886291248,3.0860331058502197
LabelPropagation,0.5953461033958559,,0.7998212689901698,0.7987839016287713,1.2634227275848389
LabelSpreading,0.5953461033958559,,0.7998212689901698,0.7987839016287713,2.066554546356201
ExtraTreeClassifier,0.5883200751083686,0.8187252407484944,0.7962466487935657,0.7959386674476342,0.07080507278442383
LGBMClassifier,0.5735218865155616,0.880426100679571,0.7890974084003575,0.7884808419660967,0.6159052848815918
DecisionTreeClassifier,0.5620460134021156,0.80568134239428,0.7828418230563002,0.7828239853198926,0.14029192924499512
RidgeClassifierCV,0.44745359167760906,0.7871847724564398,0.7256478999106345,0.7257930941935926,0.27494144439697266
RidgeClassifier,0.44066811454332505,0.787394118973236,0.7220732797140303,0.7222944484936025,0.08107686042785645
LogisticRegression,0.4393138271192283,0.7877129698218944,0.7220732797140303,0.7220034255343066,0.7569661140441895
LinearDiscriminantAnalysis,0.4391954387404858,0.7872459660536572,0.7211796246648794,0.7214524877534724,1.141615629196167
CalibratedClassifierCV,0.4330529195582149,0.7869754259396439,0.7184986595174263,0.718647637364761,4.394154787063599
LinearSVC,0.4248077082229504,0.7869206737737124,0.7140303842716711,0.7143102438497152,1.3699069023132324
