Model,R-Squared,RMSE,Time Taken
XGBRegressor,0.6668173709352071,0.7720240006713374,0.4346446990966797
RandomForestRegressor,0.6584216742676328,0.7816904015259782,7.946710109710693
BaggingRegressor,0.6439243543053736,0.7981063417818564,0.7138891220092773
HistGradientBoostingRegressor,0.6153460460778597,0.8295159230593949,1.3141260147094727
MLPRegressor,0.6048901266337922,0.8407145577181085,11.234307050704956
KNeighborsRegressor,0.574199221849242,0.8727560175027603,0.16425514221191406
NuSVR,0.5725722525116683,0.8744218123367206,2.2549445629119873
SVR,0.5715537958999476,0.8754629600102388,3.2491490840911865
LGBMRegressor,0.5712291610021392,0.8757945675846966,0.4440958499908447
ExtraTreesRegressor,0.5003409131697232,0.9454237792497452,9.317320346832275
