Model,matthews_corrcoef,ROC AUC,Accuracy,F1 Score,Time Taken
LGBMClassifier,0.6894239666592232,0.9138080588452998,0.8573770491803279,0.8561007952380876,0.3180537223815918
RandomForestClassifier,0.6421786156194051,0.898368106957809,0.8360655737704918,0.834305209286058,0.7122094631195068
XGBClassifier,0.6353522614921884,0.9095866487786824,0.8327868852459016,0.8311920354025008,0.2635354995727539
ExtraTreesClassifier,0.600981436702737,0.8732709566987417,0.8163934426229508,0.8152718991040543,0.8873541355133057
SVC,0.6003055999790458,0.9001144985196151,0.8180327868852459,0.814527708635172,0.8221950531005859
NuSVC,0.600085222287069,0.8998369263508512,0.8180327868852459,0.8142683169942911,0.9307589530944824
BaggingClassifier,0.5751679750328879,0.8754279237601778,0.8032786885245902,0.8028995701802868,0.37145209312438965
LabelSpreading,0.5645520027584287,,0.7852459016393443,0.7884803033158035,1.178567886352539
LabelPropagation,0.5618338587098906,,0.7836065573770492,0.7869039445351783,0.7029831409454346
DecisionTreeClassifier,0.5445318315107243,0.7922487971872687,0.7885245901639344,0.7884248292400137,0.09387755393981934
LinearDiscriminantAnalysis,0.5373846633524129,0.8602019337527756,0.7901639344262295,0.7856709051455838,0.2662696838378906
RidgeClassifier,0.5331626194762017,0.860248195780903,0.7885245901639344,0.7835268188782059,0.0659637451171875
LinearSVC,0.5296414903841116,0.8573683845299778,0.7868852459016393,0.7820081843805687,0.6050641536712646
RidgeClassifierCV,0.5286861945818133,0.8626075592153959,0.7868852459016393,0.7810257279344135,0.14127588272094727
KNeighborsClassifier,0.5268454916600831,0.8599070133234641,0.7836065573770492,0.7812828762575967,0.10785055160522461
CalibratedClassifierCV,0.5086764314599673,0.8596236584011844,0.7786885245901639,0.770561561321178,1.9703783988952637
LogisticRegression,0.5035694258565035,0.8574840396002961,0.7754098360655738,0.7701021254753038,0.34466123580932617
ExtraTreeClassifier,0.49799890220488663,0.764879024796447,0.7655737704918033,0.7661034123410538,0.05407595634460449
AdaBoostClassifier,0.44870602898077644,0.8379383327165064,0.7524590163934426,0.7442288891483448,0.5251610279083252
PassiveAggressiveClassifier,0.4227693340829593,0.7884726591413768,0.7360655737704918,0.7333907545136329,0.06884646415710449
