Model,R-Squared,RMSE,Time Taken
RandomForestRegressor,0.6024320869220186,0.6797826939607166,2.0577328205108643
HistGradientBoostingRegressor,0.6018430466392998,0.680286093720328,0.7153754234313965
GradientBoostingRegressor,0.5950505785403206,0.6860643180342562,0.5698177814483643
NuSVR,0.5935258064736486,0.6873547370096078,0.23557400703430176
BaggingRegressor,0.5924703259538939,0.6882465761378348,0.2050948143005371
SVR,0.5896279035357261,0.6906425834793565,0.3501889705657959
XGBRegressor,0.5847834502089516,0.6947071499719605,0.3919036388397217
LGBMRegressor,0.5686118958808509,0.7081064062001542,0.23034453392028809
KNeighborsRegressor,0.5414963596722582,0.73002180973274,0.03662681579589844
MLPRegressor,0.5238736058399962,0.7439188608238444,2.2501559257507324
RidgeCV,0.5106754286685193,0.7541590606737664,0.7451906204223633
BayesianRidge,0.5074349463094042,0.7566520955861703,0.0488431453704834
ElasticNetCV,0.506578321285911,0.7573097605489358,2.0845019817352295
Ridge,0.505750768635757,0.7579445635682759,0.0724034309387207
LassoCV,0.5055027684076869,0.7581346972488779,1.488250970840454
SGDRegressor,0.5032973552910858,0.7598234226873682,0.07572150230407715
TransformedTargetRegressor,0.5001246000570797,0.7622462971087987,0.07518219947814941
LinearRegression,0.5001246000570797,0.7622462971087987,0.03899955749511719
