Model,R-Squared,RMSE,Time Taken
SVR,0.6452505561173161,0.633016826527008,0.4973301887512207
NuSVR,0.6430452758384659,0.6349813352212759,0.4797074794769287
HistGradientBoostingRegressor,0.6376399470207534,0.6397709996535204,1.2659862041473389
RandomForestRegressor,0.6213966828228614,0.6539530958447988,3.6573679447174072
KNeighborsRegressor,0.610103157681342,0.663634952793706,0.07044434547424316
GradientBoostingRegressor,0.6078422611609233,0.665556282961313,1.3568408489227295
XGBRegressor,0.6044450291228509,0.6684328976206274,0.26428651809692383
MLPRegressor,0.6038580884485303,0.6689286378507079,3.405268907546997
LGBMRegressor,0.5965819437114579,0.6750439650556138,0.20746135711669922
BaggingRegressor,0.5813364716563756,0.6876808922605298,0.3159658908843994
BayesianRidge,0.5221445906526162,0.7346874918871394,0.09215855598449707
ElasticNetCV,0.5216720427005632,0.7350506658468235,2.682971954345703
LassoCV,0.5211610302209115,0.7354431996613613,2.2669196128845215
RidgeCV,0.5205866169025225,0.7358841848145611,0.10460567474365234
HuberRegressor,0.5146830968380949,0.7404011788281987,0.5353415012359619
Ridge,0.5106516207861211,0.7434700358817926,0.07641410827636719
SGDRegressor,0.5057334968771882,0.7471967636798615,0.07148528099060059
PoissonRegressor,0.504786674665214,0.7479120903371789,0.07297134399414062
TransformedTargetRegressor,0.5018849990609471,0.7501000650904811,0.04374337196350098
LinearRegression,0.5018849990609471,0.7501000650904811,0.051466941833496094
LinearSVR,0.5003415446961753,0.7512612926780181,0.49196338653564453
