Model,matthews_corrcoef,ROC AUC,Accuracy,F1 Score,Time Taken
RandomForestClassifier,0.6238435059658995,0.885321627359844,0.8132118451025057,0.812899099723572,1.3008785247802734
ExtraTreesClassifier,0.6123297834228892,0.8717168239461232,0.8075170842824602,0.8070671688037506,1.1034364700317383
XGBClassifier,0.6009043561440994,0.8777158745311611,0.8018223234624146,0.8015393605665214,1.459366798400879
BaggingClassifier,0.5802089062216602,0.86856862653041,0.7915717539863326,0.791248743808346,0.43346309661865234
NuSVC,0.5686551089411424,0.850508875986583,0.785876993166287,0.7854634075846201,2.1940295696258545
LabelSpreading,0.5639954130057456,,0.7835990888382688,0.7830001964667858,1.5181615352630615
LabelPropagation,0.5639954130057456,,0.7835990888382688,0.7830001964667858,1.508193016052246
SVC,0.5548939510642238,0.8308528563305633,0.7790432801822323,0.7780761881918573,3.47379207611084
LGBMClassifier,0.5418990954743613,0.8551568360485557,0.7722095671981777,0.7703954912851395,1.1321144104003906
ExtraTreeClassifier,0.5386573883823496,0.8002942143069531,0.7710706150341685,0.7704029969694015,0.07581758499145508
DecisionTreeClassifier,0.5353606273848442,0.8030355195960293,0.7687927107061503,0.7688478631756266,0.12067747116088867
KNeighborsClassifier,0.5300542207709797,0.8392463105838902,0.7665148063781321,0.7663632842760432,0.25690579414367676
